geoid,NAME,B01003_001E,B01002_001E,B01002_002E,B01002_003E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county
06049,"Modoc County, California",8938,47.7,46.6,49.3,125,314,191,236,284,274,88,104,111,201,224,161,255,219,109,148,06,049
06027,"Inyo County, California",18085,45.7,44.9,46.4,279,514,228,388,516,314,248,245,357,357,274,490,425,342,343,335,06,027
06099,"Stanislaus County, California",539301,34.0,32.8,35.2,5246,7755,5226,5487,7550,5622,3167,2779,6427,7542,4953,6776,9548,6377,4759,5526,06,099
06103,"Tehama County, California",63373,40.9,39.6,42.9,610,1322,763,944,1744,1036,537,629,857,1544,860,1264,1438,1297,611,842,06,103
06069,"San Benito County, California",59416,35.5,34.9,36.8,588,967,493,682,922,583,355,284,723,1070,729,571,881,683,410,601,06,069
06017,"El Dorado County, California",186661,45.8,44.9,46.7,2997,4763,2643,3883,4702,2893,2129,1391,3183,4674,2966,3705,4777,3382,1841,2439,06,017
06075,"San Francisco County, California",870044,38.2,37.9,38.5,10426,15624,9339,11877,12976,10483,7428,6954,10218,14556,9689,12110,15259,11377,9690,14256,06,075
06107,"Tulare County, California",460477,30.8,30.1,31.5,4614,5727,3740,4558,5717,3929,2552,2303,4534,6160,3986,4883,6623,4464,3461,4175,06,107
06057,"Nevada County, California",99092,50.1,48.3,52.0,1596,2760,1719,2643,3166,1866,1370,1135,2059,3058,1916,2571,3476,1946,1406,1963,06,057
06039,"Madera County, California",155013,33.9,32.8,34.9,1905,2219,1381,1725,3097,1653,1303,719,1592,2488,1427,2090,3040,1596,1212,1554,06,039
06105,"Trinity County, California",12862,51.8,51.8,51.8,228,502,333,326,408,368,184,121,221,414,221,362,417,295,208,146,06,105
06071,"San Bernardino County, California",2135413,33.1,32.0,34.3,22557,29031,17121,23490,26184,18267,11234,8375,25215,31802,18929,25607,30523,21955,14950,16708,06,071
06061,"Placer County, California",380077,41.9,40.5,43.3,4987,6859,4350,5792,8566,5676,4118,3251,5130,7875,4954,6861,9943,7191,4882,5515,06,061
06095,"Solano County, California",438530,37.9,36.5,39.5,6297,7797,4516,6589,7096,4701,3093,2585,6566,8992,5327,7047,8505,5838,4140,4953,06,095
06011,"Colusa County, California",21464,35.1,33.9,36.1,246,385,253,271,365,265,168,102,239,262,303,252,324,248,179,236,06,011
06031,"Kings County, California",150075,31.7,32.1,31.1,1597,1631,1181,1182,1770,1033,933,581,1339,1803,1207,1142,1932,1672,994,940,06,031
06019,"Fresno County, California",978130,32.0,31.2,33.0,10485,13130,8146,10050,13121,8532,5635,5602,10481,13227,8242,11901,14778,10498,7695,10238,06,019
06111,"Ventura County, California",848112,37.9,36.5,39.2,10362,13362,9131,10772,13615,9360,5914,6404,11129,14921,9614,12002,16019,11202,8540,10862,06,111
